organization,url,size,country,description,url2,category,source,url_https,url_source
Goctors,www.goctors.com,11-50,Ecuador,"Creamos ecosistemas de salud interoperables. Todo digitalmente, de manera amigable con el usuario, reduciendo desplazamientos innecesarios, trámites y costos. Facilitamos interoperabilidad entre proveedores de salud (B2B) y entre estos con los pacientes (B2C), a través de una plataforma con funciones especializadas para cada proveedor así como para el paciente. En la plataforma pueden operar Centros Médicos, Consulta Externa, Farmacia, Laboratorio, Aseguradoras y Pacientes. En el ecosistema resultante se puede gestionar servicios médicos, monitorear al paciente, gestionar documentación clínica como Historia Clínica Digital, recetas de medicamentos, órdenes de exámenes, emitir certificados y reclamos de seguros. Incluye una plataforma de comercio electrónico para servicios, tratamientos y medicamentos, con conciliación de cuentas, facturación y cobranza electrónica. 

We create interoperable health ecosystems. All digital, in a user-friendly way, reducing unnecessary travel, paperwork and costs. We facilitate interoperability between healthcare providers (B2B) and between these with patients (B2C), through a platform with specialized functions for each provider as well as for the patient. The platform supports Medical Centers, Outpatient Consultation, Pharmacy, Medical Labs, Insurers and Patients. In the resulting ecosystem, you can manage medical services, monitor the patient, manage clinical documentation as Electronic Health Record, prescriptions, exam orders, issue certificates and insurance claims. It includes an ecommerce platform for services, treatments and medications, invoice and collection.


",,Digital management platforms,,,
Clipp - Kradac,www.clipp.eco/,11-50,Ecuador,"Una plataforma colaborativa sobre el tema de COVID19 en la cual se sincroniza con datos mundiales y datos locales del pais de la fuente oficial, ademas presta georeferenciacion de servicios o lugares como laboratorios autorizados de pruebas de covid19, hospitales que pueden recibir y atender casos de covid19, farmacias, supermercados, transporte y así estamos mapeando más alternativas en cada ciudad, tambien se cuenta con un app.
Link web: https://clipp.eco/infocovid19ec/
Link app: https://clipp.page.link/clipp",,Digital management platforms,,,
En que ayudo,enqueayudo.org,11-50,Ecuador,"Es una plataforma web y una aplicación móvil que permite registrar a las personas que podrían brindar ayuda como: alimentos, medicinas o asistencia médica - psicológica. Y conectarlos con aquellos que debido a sus características de edad o condición económica, son vulnerables en medio de la cuarentena.",,Digital management platforms,,,
Frena La Curva Ecuador,ecuador.frenalacurva.net/,1-10,Ecuador,"Una plataforma que nació en España y se ha difundido a nivel global. Ahora la estamos adecuando a Ecuador junto a un grupo local de voluntarias(os). La plataforma se convierte en un repositorio de soluciones locales mediante la recopilación de información, la cual es clasificada por categorías relacionadas a emprendimiento, redes de cuidado, tecnología, educación, entre otras.

ecuador.frenalacurva.net/ La Red ciudadana de autoayuda contra el #COVID19 se crea para visibilizar, difundir y multiplicar el impacto de tantas iniciativas que han brotado y que brotarán en los próximos días. No solo queremos que se conozcan y se repliquen en otros lugares, queremos también incidir y crear impacto social con ello.
",,Decision support,,,
Incorazon S.A.,www.incorazon.com,11-50,Ecuador,"Telemedicina cardiológica. Posibilidad de realizar consulta on-line y exámenes complementarios a domicilio (Ekg, MAPA, Holter, laboratorio) sin que exista desplazamiento del paciente cardiológico, población vulnerable ante el COVID 19. 
Adicionalmente, sistema de monitoreo remoto a pacientes con hipertensión arterial mediante la entrega de tensiómetros digitales enlazados a una plataforma digital que permite el control, ajuste de medicación y orientación especializada evitando traslados, internaciones hospitalarias sin necesidad y altos costos por atenciones que pueden ser realizadas en los domicilios.",,"Telemedicine, teleassistance",,,
Todos Más Cerca,www.todosmascerca.com,1-10,Ecuador,"Todosmascerca.com es una guía de servicios y productos disponibles durante esta emergencia del COVID19, así como de emprendimientos que han migrado a digital, como por ejemplo: clases de música, gimnasia online, orientación psicológica, etc. Se realizará una segmentación según la geolocalización de la persona y del comercio, a 1km a la redonda de esa forma podremos tener contacto directo con el propietario del negocio cercano a nuestro domicilio para posteriormente acordar la entrega de manera personal o con el apoyo de una plataforma de entregas, se acordará también el pago vía transferencia o efectivo. 

En esta plataforma podrán registrarse todos los comercios, emprendedores de todo el mundo, logrando así tener un vínculo más cerca a cada una de nuestras necesidades por el covid19. Regístrate ingresando a www.todosmascerca.com",www.youtube.com/watch?v=1iqgOnBfGjk&feature=emb_logo,Digital management platforms,,,
OPENVENTI,openventi.org/,250+,Ecuador,"OPENVENTI es un respirador artificial de bajo costo y alta calidad
 Nace como una alternativa para integrar esfuerzos de individuos y organizaciones, provenientes de sectores público y privado, todos aportando con recursos, infraestructura, conocimientos y experiencia, con la finalidad de establecer una alternativa viable para la fabricación de ventiladores de uso hospitalario, que pueda ser producido localmente en los países latinoamericanos que enfrentan dificultades para el acceso e importación de este dispositivo.
Entre sus características el respirador artificial soporta el tratamiento del COVID19 y otras enfermedades pulmonares, consta de un equipo mecánico robusto, posee un control electrónico basado en la tarjeta de control IoT Yubox Node. 
Entre sus beneficios, el respirador posee sensores médicos especializados, utiliza en blower de grado médico para la provisión del volumen y presión de aire necesarios.",openventi.org/primer-diseno/,Respirators,,,
Hardmode Interactive,covid19tracker.hardmodeinteractive.com/,1-10,El Salvador,"Permite obtener la trazabilidad de las personas que posiblemente se contagien de COVID-19 así se tendrá certeza de los lugares que visito y las posibles infecciones que pudo generar en otros y su entorno, la app incluye un módulo para reporte al Ministerio de Salud de síntomas para los pacientes que están en cuarentena domiciliar descongestionando los precarios sistema de salud pública de América Latina ",forbescentroamerica.com/2020/03/24/desarrolladores-salvadorenos-crean-app-para-detectar-casos-de-covid-19/,Other,,,
Doctor Online,www.doctor-online.co,11-50,Guatemala,"Telemedicina: Facilitar el acceso a consultas médicas usando tecnología para que las personas puedan hablar con un médico desde su casa con tan sólo 3 clicks, ya sea por medio de chat o con una videollamada con un médico. 

El proceso para realizar una consulta médica es complicado: llamar a pedir cita, movilizarse, buscar parqueo, esperar en la salada de espera para que finalmente el médico en menos de 10 minutos le resuelva a uno. Cuando se suma el costo de esto se vuelve muy cara una consulta en tiempo, parqueo, espera.. Creemos que hay una mejor manera y esa es la telemedicina. 78% de las consultas médicas pueden ser resueltas de manera remota según la American Medical Association. Nos hemos convertido en un primer nivel de atención que permite ser ese primer punto de contactos para pacientes de la manera más fácil y rápida posible: un celular. Con esto logramos contener un 80% de las consultas para que no vayan a clinicas, especialistas y emergencias. Esto reduce los costos totales de salud. Además podemos prevenir muchas emergencias y mejorar la salud de las personas al permitir un acceso antes que la condición de los pacientes se compliquen. La telemedicina ha sido clave para controlar el coronavirus en varios países, pues ayuda a minimizar los contagios y visitas a emergencias innecesarios. También ayudar a mantener a gente en casa y redireccionar a emergencia a sólo las personas que realmente ameriten; por lo cuál es una excelente herramienta para evitar que un sistema se sature y si se le pueda dar la atención a quienes ameritan. Queremos apoyar a todas las personas y países posibles mediante nuestra herramienta y quisiéramos apoyarlos a ustedes y sus asegurados a que se mantengan sanos.   Queremos apoyar a cuantas más personas y países podamos para ayudar a controlar el coronavirus minimizando posibles contagios y ayudando a aliviar los hospitales para casos que realmente ameriten. De hecho les comparto que estamos regalando una consulta remota a cualquier persona que tenga una duda respecto al coronavirus del 16 de marzo al 23 de marzo, les comparto video de nuestro comunicado por si lo quieren compartir a sus conocidos para que ellos puedan hacer una consulta online sin costo: https://youtu.be/batuyiAgJ ",,"Telemedicine, teleassistance",,,
Findoctor Group LLC,findoctor.com/,1-10,Guatemala,"Plataforma médica digital que conecta doctores y clínicas con pacientes en la región.  Vídeo consultas a través Skype, etc. ",,Other,,,
Viamo Inc.,viamo.io,250+,Haití,"Viamo offers a full-service mobile technology approach which combines:

1. Interactive, targeted and measurable mobile engagement campaigns and surveys
2. Full-featured mobile engagement platform to serve Interactive Voice Response (IVR), SMS, Apps, and social media bots
3. In-country design and implementation support in most emerging markets
4. Strategic MNO connections to offer the lowest price, highest reliability and largest scale",viamo.io/wp-content/uploads/2020/03/Viamo-Capabilities-Statement-Epidemic-Response.pdf,Behavioral change,,,
